Leader	Year	Grade	TEAM	0.00000	0.01961	0.03922	0.05882	0.07843	0.09804	0.11765	0.13725	0.15686	0.17647	0.19608	0.21569	0.23529	0.25490	0.27451	0.29412	0.31373	0.33333	0.35294	0.37255	0.39216	0.41176	0.43137	0.45098	0.47059	0.49020	0.50980	0.52941	0.54902	0.56863	0.58824	0.60784	0.62745	0.64706	0.66667	0.68627	0.70588	0.72549	0.74510	0.76471	0.78431	0.80392	0.82353	0.84314	0.86275	0.88235	0.90196	0.92157	0.94118	0.96078	0.98039	1.00000	Size	EC	Lead-int	GradeC
A	DBA 1617	9.75	DBA 1617 P2 G8	0.00000	0.01961	-0.08563	-0.06603	-0.04642	-0.02681	-0.00720	0.01240	0.03201	0.05162	0.07123	0.04948	0.06908	0.05279	0.07240	0.09201	0.11162	0.13122	0.13523	0.15484	0.17054	0.19014	0.13172	0.15133	0.15533	0.17494	0.12822	0.12051	0.14012	0.15973	0.17934	0.19894	0.21855	0.23036	0.24997	0.23836	0.24821	0.26782	0.21330	0.23291	0.18618	0.20579	0.18248	0.20209	0.12416	0.14376	0.04632	0.02301	0.04262	-0.02361	-0.00400	0.00000	6	0.06131	1	9
D	DBA 1516	10.00	DBA 1516 P3 G9	0.00000	0.01961	-0.11764	-0.09804	-0.07843	-0.09804	-0.21568	-0.19608	-0.17647	-0.15686	-0.17647	-0.19607	-0.17647	-0.15686	-0.13725	-0.11764	-0.09803	-0.07843	-0.05882	-0.03921	-0.01960	0.00000	0.01961	0.03922	0.05883	0.07844	0.09804	0.11765	0.13726	0.15687	0.17648	0.19608	0.21569	0.23530	0.25491	0.27451	0.29412	0.31373	0.33334	0.35295	0.37255	0.39216	0.41177	0.43138	0.45099	0.47059	0.43137	0.45098	0.47059	0.34313	0.36274	0.00000	3	0.17732	2	10
A	DBA 1415	9.00	DBA 1415 P2 G6	0.00000	0.01961	0.01453	0.03413	0.05374	0.07335	0.09296	0.11256	0.13217	0.15178	0.17139	0.19100	0.16122	0.18083	0.07698	0.09659	0.11620	0.13580	0.15541	0.17502	0.19463	0.21423	0.23384	0.25345	0.27306	0.19390	0.16412	0.18373	0.17865	0.19826	0.21787	0.23747	0.25708	0.27669	0.29630	0.31590	0.33551	0.35512	0.37473	0.03631	0.05591	0.07552	0.09513	0.11474	0.13435	0.15395	0.17356	0.19317	0.21278	0.05955	0.07916	0.00000	6	0.10027	1	9
L	DBA 1718	4.22	DBA 1718 P3 GH	0.00000	-0.02932	-0.00971	0.00989	0.02950	0.04911	0.06872	0.08832	0.10793	0.12754	0.14715	0.16676	0.18636	0.20597	0.12772	0.14733	0.16694	0.18654	0.17863	0.19824	0.21173	0.23133	0.25094	0.24609	0.26570	0.27919	0.27433	0.26335	0.20101	0.22062	0.23167	0.25127	0.27088	0.29049	0.25199	0.22878	0.24839	0.26800	0.28761	0.28887	0.30847	0.32808	0.34769	0.36730	0.38691	0.40039	0.42000	0.41759	0.30571	0.22745	0.01709	0.00000	5	0.16582	3	0
A	DBA 1516	10.00	DBA 1516 P2 G3	0.00000	-0.16465	-0.14504	-0.12544	-0.31507	-0.29546	-0.27585	-0.25625	-0.23664	-0.21703	-0.19742	-0.24402	-0.22442	-0.20481	-0.18520	-0.16559	-0.14598	-0.12638	-0.10677	-0.08716	-0.06755	-0.16038	-0.14077	-0.12116	-0.10155	-0.08194	-0.06234	-0.06772	-0.04811	-0.02850	-0.00889	-0.12420	-0.10459	-0.10997	-0.09036	-0.07076	-0.05115	-0.03154	-0.01193	0.00768	0.02728	-0.11863	-0.09902	-0.08565	-0.09727	-0.09267	-0.07306	-0.05345	-0.03384	-0.01424	0.00537	0.00000	6	0.05785	1	10
L	DBA 1617	8.79	DBA 1617 P2 G4	0.00000	0.01961	-0.08786	-0.06826	-0.04865	-0.02904	-0.00943	0.01017	0.02978	0.04939	0.06900	0.08861	0.10821	0.12782	0.03397	0.05358	0.07319	0.09279	0.11240	0.11688	0.12136	0.14096	0.16057	0.18018	0.19979	0.21940	0.19361	0.21322	0.23283	0.25244	0.27205	0.29165	0.30975	0.32936	0.34746	0.36706	0.37759	0.03109	0.05070	-0.09308	-0.07348	-0.05387	-0.03426	-0.08424	-0.07976	-0.06016	-0.04055	-0.02094	-0.01646	-0.00442	0.01519	0.00000	6	0.07365	3	8
A	DBA 1617	10.00	DBA 1617 P3 G2	0.00000	-0.01815	0.00146	0.00488	0.02449	0.04410	0.02954	0.04914	0.06875	0.08836	0.10438	0.12399	0.13612	0.11582	0.13543	0.13076	0.08816	0.09967	0.11496	0.13187	0.14431	0.16391	0.18352	0.20313	0.22274	0.24235	0.23498	0.24380	0.21000	0.21748	0.23277	0.24158	0.24825	0.21931	0.23622	0.22345	0.24306	0.26267	0.28228	0.30189	0.30999	0.27296	0.29257	0.31218	0.33179	0.32846	0.31948	0.23660	0.20496	0.16469	0.08801	0.00000	5	0.11604	1	10
D	DBA 1617	10.00	DBA 1617 P3 G1	0.00000	-0.00814	0.01147	-0.02444	-0.00483	0.01478	-0.00725	0.01235	0.03196	0.05157	0.06425	0.02835	0.04795	0.06756	0.05941	0.07902	0.09863	0.11476	0.08580	0.09847	0.11808	0.06309	0.06362	0.08323	0.10284	0.11031	0.12470	0.14431	0.16392	0.18353	0.20314	0.19846	0.15180	0.15962	0.17923	0.19883	0.21150	0.23111	0.25072	0.26339	0.28299	0.30260	0.31701	0.21172	0.20448	0.17724	0.14481	0.08810	-0.00331	0.01629	0.03590	0.00000	4	0.06094	2	10
L	DBA 1819	9.73	DBA 1819 P2 GD	0.00000	0.01961	0.00892	0.02852	-0.00238	0.01723	0.03684	0.05644	0.03565	0.05526	0.07487	0.09448	0.11408	0.13369	0.15330	0.17291	0.19252	0.21212	0.15597	0.17558	0.14469	0.16429	0.02228	0.04189	-0.13042	-0.11081	-0.09121	-0.07160	-0.05199	-0.09299	-0.07338	-0.05883	-0.03922	-0.03476	-0.01515	-0.07636	-0.05675	-0.03714	-0.01753	0.00208	0.02168	0.02109	0.04070	-0.03565	-0.01604	0.00356	0.02317	0.02258	0.04219	0.02139	0.04100	0.00000	4	0.02185	3	9
L	DBA 1718	7.40	DBA 1718 P2 GA	0.00000	0.01961	-0.08054	-0.06094	-0.04133	-0.02172	-0.00211	0.01749	0.03710	0.05671	0.07632	0.09593	0.11553	0.00939	0.02900	0.01268	0.03229	0.05189	0.07150	0.09111	0.10473	0.08242	0.10203	0.10966	0.12927	0.07703	0.09663	0.11624	0.13585	0.15546	0.17507	0.19467	0.21428	0.05425	0.07386	0.09346	0.02325	0.04286	0.06247	0.03417	0.05377	-0.01644	0.00317	0.02278	0.04239	0.06199	-0.00223	0.01738	-0.01690	-0.03802	-0.01841	0.00000	5	0.01962	3	7
